"Scenario","SampleSize","Method","Mean","SD","Bias","RMSE","Success_Rate"
"Scenario_1",100,"Boosting-Est1",1.67015189491964,0.315396130442772,0.670151894919639,0.739316432240411,100
"Scenario_1",100,"Boosting-Est2",1.64650211525299,0.314177811655837,0.646502115252986,0.717424928767253,100
"Scenario_1",200,"Boosting-Est1",1.27868421975854,0.203933460090929,0.278684219758543,0.344124938596716,100
"Scenario_1",200,"Boosting-Est2",1.27177300736054,0.204288986080307,0.271773007360541,0.33876227293906,100
"Scenario_1",500,"Boosting-Est1",1.14274298314209,0.125947687625973,0.14274298314209,0.189528686098611,100
"Scenario_1",500,"Boosting-Est2",1.14182129460663,0.127559669402768,0.141821294606627,0.189892915815415,100
"Scenario_1",1000,"Boosting-Est1",1.07815668419668,0.072945140963695,0.0781566841966783,0.106409778700213,100
"Scenario_1",1000,"Boosting-Est2",1.07769556335608,0.0735466034518889,0.0776955633560792,0.106477797624396,100
"Scenario_1",2000,"Boosting-Est1",1.0559235259388,0.052935801314182,0.0559235259388027,0.0766393882607828,100
"Scenario_1",2000,"Boosting-Est2",1.05556701549877,0.0531553979675466,0.0555670154987651,0.076528946274377,100
"Scenario_1",5000,"Boosting-Est1",1.04710603739887,0.0358809192273417,0.0471060373988654,0.0589972060078301,100
"Scenario_1",5000,"Boosting-Est2",1.04743086816297,0.0359415660197519,0.0474308681629654,0.05929289585849,100
"Scenario_1",10000,"Boosting-Est1",1.0407803489609,0.0241267611013127,0.0407803489609,0.0472598714618205,100
"Scenario_1",10000,"Boosting-Est2",1.04059580071561,0.0239647163997061,0.0405958007156095,0.0470195758723688,100
"Scenario_2",100,"Boosting-Est1",4.98161951222921,1.54294694782714,3.98161951222921,4.26454751624334,100
"Scenario_2",100,"Boosting-Est2",4.99878372421223,1.69988294879457,3.99878372421223,4.33844226328242,100
"Scenario_2",200,"Boosting-Est1",2.47340594270772,0.740251959858762,1.47340594270772,1.64558153149568,100
"Scenario_2",200,"Boosting-Est2",2.46403128633111,0.714152126132705,1.46403128633111,1.62579229959764,100
"Scenario_2",500,"Boosting-Est1",1.48739916172242,0.23972544833776,0.487399161722415,0.542104111418497,100
"Scenario_2",500,"Boosting-Est2",1.48914295742174,0.237389590601725,0.489142957421739,0.542667093314878,100
"Scenario_2",1000,"Boosting-Est1",1.3341718859552,0.102217132351414,0.3341718859552,0.349156447264086,100
"Scenario_2",1000,"Boosting-Est2",1.33220400877845,0.102879420149451,0.33220400877845,0.347465099019965,100
"Scenario_2",2000,"Boosting-Est1",1.21262481483263,0.0852243565588853,0.21262481483263,0.228751478715371,100
"Scenario_2",2000,"Boosting-Est2",1.21181904865048,0.0859037764866881,0.211819048650475,0.228252445791001,100
"Scenario_2",5000,"Boosting-Est1",1.15395167835212,0.0473001321466495,0.153951678352115,0.16091511960814,100
"Scenario_2",5000,"Boosting-Est2",1.15374099052127,0.0473523613114315,0.153740990521267,0.160728632688122,100
"Scenario_2",10000,"Boosting-Est1",1.12878039951724,0.0333071214161623,0.128780399517238,0.132934451328878,100
"Scenario_2",10000,"Boosting-Est2",1.12867159631807,0.0331537490476974,0.128671596318066,0.132791443073108,100
"Scenario_3",100,"Boosting-Est1",4.07556192077035,1.36458055843283,3.07556192077035,3.35915460003501,100
"Scenario_3",100,"Boosting-Est2",4.12655938832846,1.47083764638234,3.12655938832846,3.44898096879644,100
"Scenario_3",200,"Boosting-Est1",1.7984877149468,0.678539785277742,0.798487714946799,1.04345126686474,100
"Scenario_3",200,"Boosting-Est2",1.84272634835848,0.675279142211369,0.842726348358477,1.07567168770272,100
"Scenario_3",500,"Boosting-Est1",1.31006657019867,0.248591848023275,0.310066570198674,0.395857583886331,100
"Scenario_3",500,"Boosting-Est2",1.32828166698218,0.260143730598055,0.328281666982176,0.417241079275136,100
"Scenario_3",1000,"Boosting-Est1",1.16538816658061,0.12204798917063,0.165388166580611,0.20481953781873,100
"Scenario_3",1000,"Boosting-Est2",1.16840974301036,0.120873183035527,0.168409743010356,0.206591290693513,100
"Scenario_3",2000,"Boosting-Est1",1.09686576147813,0.0804545078238735,0.096865761478133,0.125405123576896,100
"Scenario_3",2000,"Boosting-Est2",1.09998456906062,0.0811360795770624,0.0999845690606209,0.128250989045663,100
"Scenario_3",5000,"Boosting-Est1",1.03547495404927,0.0442734016146133,0.0354749540492694,0.0563862019781085,100
"Scenario_3",5000,"Boosting-Est2",1.03629832454711,0.043373774946696,0.036298324547106,0.056224790181833,100
"Scenario_3",10000,"Boosting-Est1",1.0291110042389,0.026615304140805,0.0291110042389011,0.0392639464905748,100
"Scenario_3",10000,"Boosting-Est2",1.03020846802556,0.0258816571285031,0.030208468025563,0.0396107878317828,100
"Scenario_4",100,"Boosting-Est1",4.27441757416947,1.17171357728784,3.27441757416947,3.47379690009167,100
"Scenario_4",100,"Boosting-Est2",4.33212770938832,1.15267680845197,3.33212770938832,3.52209676470162,100
"Scenario_4",200,"Boosting-Est1",2.09247215548509,0.692758231038528,1.09247215548509,1.28988801756139,100
"Scenario_4",200,"Boosting-Est2",2.14968056849008,0.725716319523986,1.14968056849008,1.35569034165573,100
