"Scenario","SampleSize","Method","Mean","SD","Bias","RMSE","Success_Rate"
"Scenario_1",100,"Stacking-Est1",0.910519277272481,0.305923916258848,-0.0894807227275186,0.311314583905143,100
"Scenario_1",100,"Stacking-Est2",0.911346050934915,0.299717425260033,-0.0886539490650853,0.305284344405528,100
"Scenario_1",200,"Stacking-Est1",1.00508843801904,0.186869902113959,0.00508843801903991,0.182209315079527,100
"Scenario_1",200,"Stacking-Est2",1.00890911467519,0.188155672175959,0.00890911467518585,0.183607737984223,100
"Scenario_1",500,"Stacking-Est1",0.991764222225948,0.0881404129104236,-0.0082357777740516,0.0863025133131274,100
"Scenario_1",500,"Stacking-Est2",0.991151389485161,0.0854892122689277,-0.00884861051483909,0.0837930966827639,100
"Scenario_1",1000,"Stacking-Est1",0.970599626073483,0.0662245768870871,-0.0294003739265172,0.0709280751303675,100
"Scenario_1",1000,"Stacking-Est2",0.970707676063775,0.0664238690675783,-0.0292923239362248,0.0710602850008088,100
"Scenario_1",2000,"Stacking-Est1",0.983210564527059,0.0544041717238683,-0.0167894354729409,0.0556211142410163,100
"Scenario_1",2000,"Stacking-Est2",0.983052056856804,0.0546554241944258,-0.0169479431431965,0.0559024811700162,100
"Scenario_1",5000,"Stacking-Est1",0.98651187575234,0.0330552301584799,-0.0134881242476599,0.0349277157069981,100
"Scenario_1",5000,"Stacking-Est2",0.986508349820804,0.0330288583228512,-0.0134916501791956,0.0349053696809418,100
"Scenario_1",10000,"Stacking-Est1",1.00512047308903,0.0264670393011333,0.00512047308902863,0.0263001559986783,100
"Scenario_1",10000,"Stacking-Est2",1.00519896773836,0.0265884100510303,0.0051989677383586,0.0264315273326029,100
"Scenario_2",100,"Stacking-Est1",0.829132954484928,0.304383890523287,-0.170867045515072,0.342363290106631,100
"Scenario_2",100,"Stacking-Est2",0.833122094111646,0.287798835852509,-0.166877905888354,0.326396992780017,100
"Scenario_2",200,"Stacking-Est1",0.967163927279015,0.125173815852368,-0.0328360727209848,0.126345825566294,100
"Scenario_2",200,"Stacking-Est2",0.972689453083049,0.123174074789522,-0.027310546916951,0.123122402665579,100
"Scenario_2",500,"Stacking-Est1",0.921510821511314,0.142191188330136,-0.078489178488686,0.159273250976516,100
"Scenario_2",500,"Stacking-Est2",0.924848917051309,0.141269541601873,-0.0751510829486909,0.15686591243334,100
"Scenario_2",1000,"Stacking-Est1",0.978478747768942,0.0946396918019166,-0.0215212522310581,0.0947206524404076,100
"Scenario_2",1000,"Stacking-Est2",0.97749967703469,0.0955151586338394,-0.0225003229653105,0.0957770994859857,100
"Scenario_2",2000,"Stacking-Est1",0.996101755266348,0.0480770144298494,-0.00389824473365152,0.0470215446648341,100
"Scenario_2",2000,"Stacking-Est2",0.996173994179915,0.0476804774367992,-0.00382600582008463,0.0466304069541151,100
"Scenario_2",5000,"Stacking-Est1",0.984764959766391,0.0375569996617709,-0.0152350402336093,0.0396498204703911,100
"Scenario_2",5000,"Stacking-Est2",0.984722080852739,0.0374714664077654,-0.0152779191472614,0.0395893933835963,100
"Scenario_2",10000,"Stacking-Est1",0.996072805831397,0.0179784869619752,-0.00392719416860254,0.0179579382950193,100
"Scenario_2",10000,"Stacking-Est2",0.99613574881018,0.0179107491024943,-0.00386425118981981,0.0178798105135346,100
"Scenario_3",100,"Stacking-Est1",0.84497308248159,0.361068218441093,-0.15502691751841,0.384558305858908,100
"Scenario_3",100,"Stacking-Est2",0.90193096498291,0.350107316439638,-0.0980690350170897,0.355054801407501,100
"Scenario_3",200,"Stacking-Est1",0.83182247063488,0.178290745880389,-0.16817752936512,0.241830295758434,100
"Scenario_3",200,"Stacking-Est2",0.830365944982894,0.176338106048114,-0.169634055017106,0.241487233376737,100
"Scenario_3",500,"Stacking-Est1",0.971275428789833,0.122128338203633,-0.0287245712101674,0.122452706927899,100
"Scenario_3",500,"Stacking-Est2",0.972519078478009,0.125183890752385,-0.027480921521991,0.125070608963128,100
"Scenario_3",1000,"Stacking-Est1",1.01376610602283,0.0725847884346772,0.0137661060228271,0.0720737789458359,100
"Scenario_3",1000,"Stacking-Est2",1.01460754931346,0.0722924932596582,0.0146075493134643,0.0719602310276873,100
"Scenario_3",2000,"Stacking-Est1",0.991127428332774,0.0796625264285501,-0.00887257166722633,0.0781507180972801,100
"Scenario_3",2000,"Stacking-Est2",0.991728418340197,0.0816350105301293,-0.00827158165980324,0.0799967515602753,100
"Scenario_3",5000,"Stacking-Est1",0.997705359251552,0.0376222264402608,-0.00229464074844832,0.0367413350651631,100
"Scenario_3",5000,"Stacking-Est2",0.997752846055316,0.0376721804706114,-0.00224715394468411,0.0367869980181981,100
