"Scenario","SampleSize","Method","Mean","SD","Bias","RMSE","Success_Rate"
"Scenario_1",100,"Stacking-Est1",0.931237323011632,0.295670816817773,-0.068762676988368,0.296274325699024,100
"Scenario_1",100,"Stacking-Est2",0.936907055767378,0.295312796604375,-0.0630929442326222,0.29466911113709,100
"Scenario_1",200,"Stacking-Est1",0.879538233740363,0.19221246360894,-0.120461766259637,0.222731647366688,100
"Scenario_1",200,"Stacking-Est2",0.884401642327916,0.186786072269439,-0.115598357672084,0.215656127319942,100
"Scenario_1",500,"Stacking-Est1",0.843502803720407,0.0949914720069915,-0.156497196279593,0.181833944052605,100
"Scenario_1",500,"Stacking-Est2",0.842957866421132,0.0909497663987809,-0.157042133578868,0.18033440804959,100
"Scenario_1",1000,"Stacking-Est1",0.858467727041223,0.0688068362594812,-0.141532272958777,0.156617514886155,100
"Scenario_1",1000,"Stacking-Est2",0.857350020617567,0.0688384575852049,-0.142649979382433,0.157641406991891,100
"Scenario_1",2000,"Stacking-Est1",0.830268634644547,0.0429482383880017,-0.169731365355453,0.174817218851654,100
"Scenario_1",2000,"Stacking-Est2",0.830218588271723,0.0440149740039691,-0.169781411728277,0.175117617069752,100
"Scenario_1",5000,"Stacking-Est1",0.822380194648347,0.0332617993528717,-0.177619805351653,0.180554216745387,100
"Scenario_1",5000,"Stacking-Est2",0.82224379845093,0.0330714165939335,-0.17775620154907,0.180655196036279,100
"Scenario_1",10000,"Stacking-Est1",0.820077222314198,0.0190032818564746,-0.179922777685802,0.180873642124621,100
"Scenario_1",10000,"Stacking-Est2",0.820043211484141,0.0190721242573766,-0.179956788515859,0.180914356424376,100
"Scenario_2",100,"Stacking-Est1",1.1242688655535,0.416294647006827,0.124268865553499,0.424357069478246,100
"Scenario_2",100,"Stacking-Est2",1.14745506673547,0.351126341608469,0.147455066735467,0.372650263771194,100
"Scenario_2",200,"Stacking-Est1",0.869630256791638,0.309978952732468,-0.130369743208362,0.329057553513783,100
"Scenario_2",200,"Stacking-Est2",0.861944760079615,0.295958019525072,-0.138055239920385,0.319798125580213,100
"Scenario_2",500,"Stacking-Est1",0.896513666206337,0.152776603319932,-0.103486333793663,0.1813369164785,100
"Scenario_2",500,"Stacking-Est2",0.895665377153433,0.152499290247662,-0.104334622846567,0.181601061049417,100
"Scenario_2",1000,"Stacking-Est1",0.823270099662135,0.0748869811338076,-0.176729900337865,0.191209609119417,100
"Scenario_2",1000,"Stacking-Est2",0.823412315032254,0.0753734875431291,-0.176587684967746,0.191259810141758,100
"Scenario_2",2000,"Stacking-Est1",0.84145353731346,0.0642913601398593,-0.15854646268654,0.170480763928415,100
"Scenario_2",2000,"Stacking-Est2",0.840884216719404,0.064281933456255,-0.159115783280596,0.171006991405112,100
"Scenario_2",5000,"Stacking-Est1",0.83554203263036,0.0354592018714805,-0.16445796736964,0.168050320674636,100
"Scenario_2",5000,"Stacking-Est2",0.835440498355591,0.0353394043405109,-0.164559501644409,0.168125724996626,100
"Scenario_2",10000,"Stacking-Est1",0.809212702944651,0.031759255735855,-0.190787297055349,0.193282204370544,100
"Scenario_2",10000,"Stacking-Est2",0.809119521443534,0.0318051670484376,-0.190880478556466,0.193381352028513,100
"Scenario_3",100,"Stacking-Est1",0.584126520524933,0.346575993228142,-0.415873479475067,0.535779734647242,100
"Scenario_3",100,"Stacking-Est2",0.568156144045263,0.350535254537256,-0.431843855954737,0.550654458227371,100
"Scenario_3",200,"Stacking-Est1",0.774803315807295,0.270251865197437,-0.225196684192705,0.346551314644668,100
"Scenario_3",200,"Stacking-Est2",0.783434776073565,0.253542491423854,-0.216565223926435,0.328588042119386,100
"Scenario_3",500,"Stacking-Est1",0.875863328461218,0.117813211264958,-0.124136671538782,0.169103129278736,100
"Scenario_3",500,"Stacking-Est2",0.870856828684393,0.118582955782166,-0.129143171315607,0.173311223610549,100
"Scenario_3",1000,"Stacking-Est1",0.823000219650178,0.0766834493665447,-0.176999780349822,0.192133433010236,100
"Scenario_3",1000,"Stacking-Est2",0.819502646780167,0.0771701604545109,-0.180497353219833,0.195542237127203,100
"Scenario_3",2000,"Stacking-Est1",0.823928621232972,0.0355187337174281,-0.176071378767028,0.179442558618538,100
"Scenario_3",2000,"Stacking-Est2",0.82310426361713,0.0351901497598219,-0.17689573638287,0.180190262940456,100
"Scenario_3",5000,"Stacking-Est1",0.824268075104749,0.0219588650481684,-0.175731924895251,0.177030482103743,100
"Scenario_3",5000,"Stacking-Est2",0.823583869334642,0.0215165476192525,-0.176416130665358,0.177658281229206,100
"Scenario_3",10000,"Stacking-Est1",0.80802111639242,0.0228546484737396,-0.19197888360758,0.193266939646252,100
"Scenario_3",10000,"Stacking-Est2",0.807925944994761,0.0230785559161164,-0.192074055005239,0.193386740399052,100
"Scenario_4",100,"Stacking-Est1",0.885674968396004,0.448715518480552,-0.114325031603996,0.452049276683706,100
"Scenario_4",100,"Stacking-Est2",0.877032345566681,0.445133083883816,-0.122967654433319,0.450951586410729,100
"Scenario_4",200,"Stacking-Est1",0.749948132357031,0.292596322917842,-0.250051867642969,0.379286058651682,100
"Scenario_4",200,"Stacking-Est2",0.754914883138551,0.288440898758779,-0.245085116861449,0.372967772039252,100
"Scenario_4",500,"Stacking-Est1",0.833341495391974,0.121200202192089,-0.166658504608026,0.204279396217574,100
"Scenario_4",500,"Stacking-Est2",0.831629127803158,0.119859217223762,-0.168370872196842,0.204930893132646,100
"Scenario_4",1000,"Stacking-Est1",0.854649155678522,0.0590509340607076,-0.145350844321478,0.156331475134524,100
"Scenario_4",1000,"Stacking-Est2",0.851644152654798,0.059987355967447,-0.148355847345202,0.159461644835615,100
"Scenario_4",2000,"Stacking-Est1",0.812577597348121,0.0576783555387455,-0.187422402651879,0.195672200576817,100
"Scenario_4",2000,"Stacking-Est2",0.812029456926883,0.0574223566844589,-0.187970543073117,0.196125943612873,100
"Scenario_4",5000,"Stacking-Est1",0.815165730619149,0.024722361186237,-0.184834269380851,0.186398343670336,100
"Scenario_4",5000,"Stacking-Est2",0.815241304407134,0.0247425550462249,-0.184758695592866,0.186325950758026,100
"Scenario_4",10000,"Stacking-Est1",0.819521295937645,0.0223779480081556,-0.180478704062355,0.181791904520609,100
"Scenario_4",10000,"Stacking-Est2",0.819235196622513,0.0226864946501645,-0.180764803377487,0.182112210814206,100
"Scenario_5",100,"Stacking-Est1",0.362835504173721,1.02813434984177,-0.637164495826279,1.18751245214519,100
